Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,205.940002,206.800003,201.000000,201.720001,201.720001,28683200
2020-05-27,202.990005,202.990005,196.750000,201.179993,201.179993,23605400
2020-05-28,199.000000,202.369995,197.619995,199.490005,199.490005,18763200
2020-05-29,200.000000,207.880005,196.699997,207.389999,207.389999,43179500
2020-06-01,205.899994,207.199997,203.940002,206.570007,206.570007,16169700
2020-06-02,207.210007,214.570007,207.169998,214.330002,214.330002,22485800
2020-06-03,215.600006,218.970001,213.750000,218.610001,218.610001,19999500
2020-06-04,217.279999,220.000000,216.320007,218.039993,218.039993,14962400
2020-06-05,220.000000,220.589996,218.699997,219.550003,219.550003,11983200
2020-06-08,219.600006,220.399994,215.330002,219.000000,219.000000,12731200
2020-06-09,216.309998,220.720001,216.199997,220.720001,220.720001,14140100
2020-06-10,222.000000,225.000000,220.600006,223.679993,223.679993,13372400
2020-06-11,218.000000,219.949997,213.559998,215.240005,215.240005,15560300
2020-06-12,218.500000,219.500000,213.880005,217.639999,217.639999,12716500
2020-06-15,214.110001,217.720001,212.750000,217.029999,217.029999,17419900
2020-06-16,221.000000,224.839996,220.100006,222.619995,222.619995,17212400
2020-06-17,224.399994,225.000000,222.500000,224.250000,224.250000,12486700
2020-06-18,223.740005,226.029999,222.919998,223.539993,223.539993,10358800
2020-06-19,226.380005,226.500000,220.089996,220.639999,220.639999,19545200
2020-06-22,220.919998,222.080002,219.445007,221.410004,221.410004,13303600
2020-06-23,225.119995,230.225006,224.529999,228.750000,228.750000,18263400
2020-06-24,228.300003,231.029999,224.251999,226.220001,226.220001,12159500
2020-06-25,224.589996,224.690002,220.869995,222.160004,222.160004,14953100
2020-06-26,222.210007,222.259995,213.500000,215.710007,215.710007,19340600
2020-06-29,215.029999,216.500000,211.820007,215.020004,215.020004,12333000
2020-06-30,215.740005,216.429993,212.889999,215.699997,215.699997,12933800
2020-07-01,215.809998,216.550003,214.740005,215.949997,215.949997,11788100
2020-07-02,221.850006,225.024994,220.059998,223.600006,223.600006,18128700
2020-07-06,233.309998,240.479996,232.820007,240.000000,240.000000,33702900
2020-07-07,241.009995,241.300003,236.130005,236.509995,236.509995,16491600
2020-07-08,244.860001,258.489990,244.020004,257.679993,257.679993,39922700
2020-07-09,265.549988,268.000000,255.910004,261.579987,261.579987,36803900
2020-07-10,260.209991,261.899994,255.710007,261.010010,261.010010,20335000
2020-07-13,261.450012,265.660004,250.679993,251.669998,251.669998,21568700
2020-07-14,246.570007,249.750000,241.229996,248.580002,248.580002,19782600
2020-07-15,251.479996,252.500000,246.539993,249.210007,249.210007,12614700
2020-07-16,241.770004,245.050003,240.740005,242.500000,242.500000,18032100
2020-07-17,246.550003,247.929993,244.479996,247.139999,247.139999,18742400
2020-07-20,256.450012,257.670013,252.429993,254.809998,254.809998,19015000
2020-07-21,261.209991,261.920013,256.519989,257.899994,257.899994,17120700
2020-07-22,255.759995,256.269989,249.600006,251.699997,251.699997,19682200
2020-07-23,252.100006,257.660004,248.690002,251.880005,251.880005,25712000
2020-07-24,244.960007,249.479996,241.889999,249.000000,249.000000,17221500
2020-07-27,247.110001,252.869995,245.809998,250.860001,250.860001,18966900
2020-07-28,251.149994,251.649994,248.529999,249.050003,249.050003,9878700
2020-07-29,250.339996,254.300003,250.100006,252.449997,252.449997,11493600
2020-07-30,251.699997,253.860001,249.619995,252.740005,252.740005,7032900
2020-07-31,254.199997,254.399994,248.100006,251.020004,251.020004,12304100
